barrier_id,barrier_release_time,barrier_type,downstream_node_ids,earliest_arrival_time,latest_arrival_time,motif_type,participating_node_ids,per_node_wait_time,straggler_gap,workflow_name,workflow_run_id
hybrid_peer_barrier_mr0_pr2,28.382416,debate_round_sync,[],28.355615,28.38157,hybrid_manager_peer,"[""hybrid_agent_issue_triage_mr0_pr2"", ""hybrid_agent_code_localization_mr0_pr2"", ""hybrid_agent_api_doc_mr0_pr2"", ""hybrid_agent_repo_search_mr0_pr2""]","{""hybrid_agent_issue_triage_mr0_pr2"": 0.026800999999998965, ""hybrid_agent_code_localization_mr0_pr2"": 0.01763000000000048, ""hybrid_agent_api_doc_mr0_pr2"": 0.0036570000000004654, ""hybrid_agent_repo_search_mr0_pr2"": 0.0008459999999992363}",0.02595499999999973,hybrid,hybrid_20260603_152755_367539
hybrid_manager_collect_r0,28.38338,debate_round_sync,[],14.317728,15.459772,hybrid_manager_peer,"[""hybrid_agent_code_localization_mr0"", ""hybrid_agent_api_doc_mr0"", ""hybrid_agent_issue_triage_mr0"", ""hybrid_agent_repo_search_mr0""]","{""hybrid_agent_code_localization_mr0"": 14.065651999999998, ""hybrid_agent_api_doc_mr0"": 14.058578999999998, ""hybrid_agent_issue_triage_mr0"": 13.903804, ""hybrid_agent_repo_search_mr0"": 12.923608}",1.1420439999999985,hybrid,hybrid_20260603_152755_367539
hybrid_peer_barrier_mr1_pr1,49.174594,debate_round_sync,[],49.126621,49.173646,hybrid_manager_peer,"[""hybrid_agent_test_reasoning_mr1_pr1"", ""hybrid_agent_repo_search_mr1_pr1"", ""hybrid_agent_patch_planning_mr1_pr1"", ""hybrid_agent_issue_triage_mr1_pr1""]","{""hybrid_agent_test_reasoning_mr1_pr1"": 0.04797299999999893, ""hybrid_agent_repo_search_mr1_pr1"": 0.017426000000000386, ""hybrid_agent_patch_planning_mr1_pr1"": 0.0036559999999994375, ""hybrid_agent_issue_triage_mr1_pr1"": 0.0009480000000010591}",0.047024999999997874,hybrid,hybrid_20260603_152755_367539
hybrid_peer_barrier_mr1_pr2,55.558235,debate_round_sync,[],55.526548,55.557239,hybrid_manager_peer,"[""hybrid_agent_patch_planning_mr1_pr2"", ""hybrid_agent_test_reasoning_mr1_pr2"", ""hybrid_agent_issue_triage_mr1_pr2"", ""hybrid_agent_repo_search_mr1_pr2""]","{""hybrid_agent_patch_planning_mr1_pr2"": 0.03168700000000513, ""hybrid_agent_test_reasoning_mr1_pr2"": 0.01869400000000354, ""hybrid_agent_issue_triage_mr1_pr2"": 0.00253300000000678, ""hybrid_agent_repo_search_mr1_pr2"": 0.000996000000000663}",0.030691000000004465,hybrid,hybrid_20260603_152755_367539
hybrid_manager_collect_r1,55.559147,debate_round_sync,[],42.632176,42.720806,hybrid_manager_peer,"[""hybrid_agent_test_reasoning_mr1"", ""hybrid_agent_patch_planning_mr1"", ""hybrid_agent_repo_search_mr1"", ""hybrid_agent_issue_triage_mr1""]","{""hybrid_agent_test_reasoning_mr1"": 12.926971000000002, ""hybrid_agent_patch_planning_mr1"": 12.911261000000003, ""hybrid_agent_repo_search_mr1"": 12.883858000000004, ""hybrid_agent_issue_triage_mr1"": 12.838341}",0.08863000000000198,hybrid,hybrid_20260603_152755_367539
memory_write_barrier,10.14286,fan_in_merge,[],9.190773,10.140867,independent_multi_branch,"[""writer_2"", ""writer_1""]","{""writer_2"": 0.9520870000000006, ""writer_1"": 0.0019930000000005776}",0.950094,shared_memory_fanin_meso,shared_memory_fanin_meso_20260603_152552_989083
late_evidence_merge_barrier,33.151236,fan_in_merge,[],16.451732,27.633886,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_4"", ""resume_evidence_processor_1"", ""resume_evidence_processor_3"", ""resume_evidence_processor_2"", ""resume_evidence_processor_6"", ""resume_evidence_processor_5"", ""resume_evidence_processor_7"", ""resume_evidence_processor_8""]","{""background_coder"": 16.699503999999997, ""resume_evidence_processor_4"": 6.590362999999996, ""resume_evidence_processor_1"": 6.558838999999999, ""resume_evidence_processor_3"": 6.509800999999996, ""resume_evidence_processor_2"": 6.494303999999996, ""resume_evidence_processor_6"": 5.694818999999999, ""resume_evidence_processor_5"": 5.614788999999998, ""resume_evidence_processor_7"": 5.530603999999997, ""resume_evidence_processor_8"": 5.517349999999997}",11.182154,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163652_571098
late_evidence_merge_barrier,33.180187,fan_in_merge,[],16.573692,26.868251,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_7"", ""resume_evidence_processor_6"", ""resume_evidence_processor_1"", ""resume_evidence_processor_8"", ""resume_evidence_processor_3"", ""resume_evidence_processor_5"", ""resume_evidence_processor_2"", ""resume_evidence_processor_4""]","{""background_coder"": 16.606494999999995, ""resume_evidence_processor_7"": 6.4080229999999965, ""resume_evidence_processor_6"": 6.376450999999996, ""resume_evidence_processor_1"": 6.363010999999997, ""resume_evidence_processor_8"": 6.346420999999996, ""resume_evidence_processor_3"": 6.330001999999997, ""resume_evidence_processor_5"": 6.313337999999998, ""resume_evidence_processor_2"": 6.312673999999998, ""resume_evidence_processor_4"": 6.311935999999996}",10.294559,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163938_901759
late_evidence_merge_barrier,23.878401,fan_in_merge,[],11.991921,20.646187,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_1"", ""resume_evidence_processor_4"", ""resume_evidence_processor_3"", ""resume_evidence_processor_2""]","{""background_coder"": 11.88648, ""resume_evidence_processor_1"": 3.548065000000001, ""resume_evidence_processor_4"": 3.249110999999999, ""resume_evidence_processor_3"": 3.2327520000000014, ""resume_evidence_processor_2"": 3.232213999999999}",8.654266000000002,tool_resume_contention_meso,tool_resume_contention_meso_20260603_152522_507846
late_evidence_merge_barrier,31.76197,fan_in_merge,[],15.909776,26.819541,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_2"", ""resume_evidence_processor_1"", ""resume_evidence_processor_3"", ""resume_evidence_processor_4""]","{""background_coder"": 15.852194, ""resume_evidence_processor_2"": 5.45561, ""resume_evidence_processor_1"": 5.139808000000002, ""resume_evidence_processor_3"": 4.944835000000001, ""resume_evidence_processor_4"": 4.942429000000001}",10.909765,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163612_203397
late_evidence_merge_barrier,31.801228,fan_in_merge,[],15.995265,25.376832,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_1"", ""resume_evidence_processor_3"", ""resume_evidence_processor_2"", ""resume_evidence_processor_4""]","{""background_coder"": 15.805962999999998, ""resume_evidence_processor_1"": 6.7525179999999985, ""resume_evidence_processor_3"": 6.541122999999999, ""resume_evidence_processor_2"": 6.526577, ""resume_evidence_processor_4"": 6.424395999999998}",9.381567,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163816_416182
late_evidence_merge_barrier,32.866898,fan_in_merge,[],16.512058,26.595923,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_5"", ""resume_evidence_processor_2"", ""resume_evidence_processor_4"", ""resume_evidence_processor_8"", ""resume_evidence_processor_1"", ""resume_evidence_processor_6"", ""resume_evidence_processor_3"", ""resume_evidence_processor_7""]","{""background_coder"": 16.35484, ""resume_evidence_processor_5"": 6.595952999999998, ""resume_evidence_processor_2"": 6.595292000000001, ""resume_evidence_processor_4"": 6.290789999999998, ""resume_evidence_processor_8"": 6.274158999999997, ""resume_evidence_processor_1"": 6.273579999999999, ""resume_evidence_processor_6"": 6.273173, ""resume_evidence_processor_3"": 6.272119, ""resume_evidence_processor_7"": 6.270975}",10.083865,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163856_930471
late_evidence_merge_barrier,32.926638,fan_in_merge,[],16.508138,26.451034,composite_tool_resume,"[""background_coder"", ""resume_evidence_processor_8"", ""resume_evidence_processor_2"", ""resume_evidence_processor_6"", ""resume_evidence_processor_7"", ""resume_evidence_processor_4"", ""resume_evidence_processor_3"", ""resume_evidence_processor_1"", ""resume_evidence_processor_5""]","{""background_coder"": 16.418499999999998, ""resume_evidence_processor_8"": 6.8096349999999966, ""resume_evidence_processor_2"": 6.793577999999997, ""resume_evidence_processor_6"": 6.542250999999997, ""resume_evidence_processor_7"": 6.525262999999995, ""resume_evidence_processor_4"": 6.493800999999998, ""resume_evidence_processor_3"": 6.492835999999997, ""resume_evidence_processor_1"": 6.476361999999998, ""resume_evidence_processor_5"": 6.475603999999997}",9.942896000000001,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163734_553272
tool_merge_barrier,9.111324,fan_in_merge,[],8.892955,9.109717,manager_worker,"[""tool_repo"", ""tool_test"", ""tool_search"", ""tool_doc""]","{""tool_repo"": 0.21836899999999915, ""tool_test"": 0.20479800000000026, ""tool_search"": 0.07333399999999912, ""tool_doc"": 0.001606999999999914}",0.21676199999999923,tool_specialist_team,tool_specialist_team_20260603_152125_128117
